Trade Number,Trade Type,Position Type,Purchase Date,Sell Date,LookBack Period,Slope P Value,Previous Slope P Value,Price Slope,Previous Price Slope,Old Maximum Price in LookBack Period (Before trade was made),New Maximum PRice in LookBack Period (When trade was made),Old Minimum Price in LookBack Period (Before trade was made),New Minimum Price in LookBack Period (When trade was made),Profit/Loss
27,LVL,Long,2004-08-03,2004-09-10,35,1.449466e-06,5.947377e-10,-9.860942e-03,-7.025942e-03,,,657.500000,598.000000,-658.449549
28,LVL,Long,2004-07-27,2004-07-28,35,1.912206e-01,1.504691e-04,-2.601214e-03,-4.245003e-03,,,219.000000,211.800003,-859.043320
29,LVL,Long,2004-08-31,2004-09-03,35,1.095492e-04,1.998007e-09,-7.228058e-03,6.242601e-03,,,183.800003,179.399994,-480.445999
30,HVS,Short,2014-03-07,2014-04-22,35,2.954596e-15,4.739816e-10,1.493947e-02,3.113635e-03,171.750000,200.649994,,,-683.401402
31,LVL,Long,2022-11-21,2022-11-29,35,7.672263e-18,4.520387e-01,-9.440223e-03,-4.548496e-04,,,165.149994,151.300003,307.352963
32,HVS,Short,2001-02-13,2001-02-16,35,5.397643e-13,8.049910e-03,1.013731e-02,-1.414701e-03,996.000000,1086.000000,,,-486.130708
33,HVS,Short,2001-02-22,2001-03-06,35,3.426973e-11,1.479334e-03,8.675126e-03,1.861036e-03,1086.000000,1189.000000,,,698.096380
34,LVL,Long,2011-12-12,2011-12-15,35,1.975795e-15,6.298978e-09,-9.322123e-03,-3.511012e-03,,,1968.000000,1936.000000,400.718876
35,HNVSL,Long,2019-11-11,2019-11-13,35,,,,,,,,,683.758702
36,LVL,Long,2010-04-01,2010-05-05,35,2.058192e-18,1.751636e-03,-1.393518e-02,2.022089e-03,,,20.320000,16.570000,-485.260790
37,LVL,Long,2004-07-07,2004-08-20,35,7.600586e-18,7.994055e-01,-8.958755e-03,1.397038e-04,,,46.650002,46.500000,451.090024
38,HVS,Short,2011-02-18,2011-03-04,35,3.803384e-15,2.883418e-03,8.854452e-03,3.879595e-03,197.020004,204.020004,,,-699.539185
39,LVL,Long,2022-07-11,2022-07-14,35,1.057413e-06,6.440468e-06,-9.519735e-03,3.018787e-03,,,100.120003,94.690002,-554.436184
40,LVL,Long,2012-05-25,2012-06-06,35,1.438041e-13,4.108148e-06,-1.051795e-02,-4.093846e-03,,,113.699997,102.199997,312.772351
41,LVL,Long,2019-05-08,2019-05-14,35,9.295299e-21,4.889924e-01,-9.522864e-03,-4.233434e-04,,,92.949997,91.250000,489.722402
42,LVL,Long,2001-10-11,2001-10-23,35,2.660949e-12,7.807893e-10,-9.042117e-03,4.972718e-03,,,236.000000,230.800003,-507.058645
43,LVL,Long,2008-10-28,2009-01-05,35,2.374056e-06,5.816475e-02,-7.378426e-03,6.133931e-04,,,178.800003,177.199997,-555.631833
44,HVS,Short,2009-06-22,2009-06-23,35,1.474813e-13,1.111412e-01,9.409000e-03,1.677836e-03,213.699997,214.600006,,,324.182357
45,HVS,Short,2009-12-01,2009-12-08,35,4.906799e-10,1.752412e-03,8.900984e-03,-1.289714e-03,239.500000,246.199997,,,985.972702
46,LVL,Long,2011-05-03,2011-05-11,35,2.661017e-11,5.277171e-05,-9.882305e-03,-1.809195e-03,,,230.600006,224.000000,-570.530374
47,LVL,Long,2008-11-28,2008-12-16,35,3.494114e-13,6.146164e-07,-9.368910e-03,-3.784782e-03,,,219.500000,199.500000,420.396386
48,HVS,Short,2003-08-11,2003-08-19,35,8.094294e-11,8.312369e-05,9.863369e-03,-2.359955e-03,777.500000,787.000000,,,1074.255388
49,LVL,Long,2020-06-30,2020-07-01,35,1.113854e-02,4.560992e-11,-5.190256e-03,6.669908e-03,,,1400.000000,1355.500000,410.777267
50,LVL,Long,2002-08-29,2002-10-02,35,2.812723e-09,1.063418e-10,-1.169648e-02,3.778614e-03,,,34.599998,30.225000,3391.812111
51,HVS,Short,2002-10-11,2002-10-21,35,3.612668e-13,5.202445e-07,9.054548e-03,-7.597038e-03,44.275002,45.000000,,,1579.245569
52,LVL,Long,2018-08-31,2018-09-06,35,2.162812e-09,2.112726e-05,-8.608789e-03,1.917225e-03,,,60.250000,49.125000,767.276605
53,LVL,Long,2017-05-10,2017-06-01,35,1.066010e-16,1.874886e-08,-9.271186e-03,2.366419e-03,,,63.880001,60.720001,-2293.008417
54,LVL,Long,2021-08-19,2021-09-01,35,2.302466e-09,1.708303e-01,-8.143244e-03,4.194780e-04,,,166.960007,159.589996,-2584.729163
55,LVL,Long,2021-09-03,2021-09-07,35,2.674608e-13,4.075867e-10,-1.104915e-02,1.496957e-03,,,159.250000,140.539993,-743.140331
56,LVL,Long,2021-09-17,2021-09-20,35,2.280048e-11,1.345606e-04,-9.783436e-03,6.191554e-04,,,140.539993,119.959999,-629.467320
57,LVL,Long,2021-10-04,2021-10-11,35,4.367233e-16,5.313046e-06,-1.082292e-02,-5.693358e-03,,,117.010002,115.760002,1250.432720
58,HVS,Short,2011-03-10,2011-04-01,35,2.356152e-11,1.120815e-06,9.356006e-03,-3.354743e-03,16.990000,19.629999,,,4479.816161
59,LVL,Long,2015-01-09,2015-02-23,35,7.707864e-10,1.033729e-06,-8.480439e-03,-2.124378e-03,,,1.573000,1.554000,-665.041100
60,HVS,Short,2020-06-10,2020-06-18,35,7.985370e-03,1.563809e-10,8.272525e-03,-5.589076e-03,2.081000,2.162000,,,-659.885335
61,HVS,Short,2020-06-26,2020-07-01,35,3.610439e-11,4.039102e-15,1.938947e-02,-8.800023e-03,2.195000,2.212000,,,-1920.665547
62,LVL,Long,2020-09-04,2020-09-16,35,1.339312e-08,1.730885e-07,-8.003102e-03,1.045572e-02,,,2.061000,1.801000,-582.745471
63,HVS,Short,2020-10-30,2020-11-04,35,2.976739e-12,6.052791e-09,8.936965e-03,-8.694549e-03,2.274000,2.297000,,,-2172.232437
